controller,speed_kmh,target_force_N,mean_force_N,std_force_N,cv_percent,min_force_N,max_force_N,contact_loss_percent,NoC,ATR_percent,effort_N2s,mechanical_work_J,signed_mechanical_work_J,trial,scenario_seed,measurement_noise_std_N,actuator_delay_s,actuator_time_constant_s,irregularity_scale,mass_scale_1,mass_scale_2,mass_scale_3,stiffness_scale_1,stiffness_scale_2,stiffness_scale_3,damping_scale_3,contact_stiffness_scale
ME-APIC,350.0,188.825,195.3017052352038,172.40665314225328,88.27708541234814,105.28108754691371,1018.0935666982779,0.0,7,23.076923076923073,28.064108847749416,0.9005541550321938,-0.5370214153834436,2,2037257404,2.0,0.005,0.015,0.8112797797935276,1.0419330327817269,0.9316646289055773,1.0477735548899636,0.933224478398405,0.9638482909356714,1.0252483846415041,0.9223760666720565,0.9765864004062519
Passive,300.0,157.3,170.55646436832657,103.9250810463129,60.93294759082286,83.17953390328758,473.566966423115,0.0,0,0.0,0.0,0.0,0.0,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
Continuous,300.0,157.3,167.77974586766766,98.73758873037825,58.84952812376722,89.09904215804399,476.3331216100584,0.0,1,100.0,78.63462474955256,1.728072549832604,-0.656128947863077,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
T-APIC,300.0,157.3,170.54613757930642,102.49065975963376,60.09556194843412,88.65725168418037,476.5209673004804,0.0,8,27.594936708860757,23.809467442565406,0.6552904875470145,-0.2245326852538356,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
E-APIC,300.0,157.3,171.47534532135543,102.67635833416256,59.878204730680494,88.65725168418037,476.4258941513693,0.0,6,18.73417721518987,19.26809685114986,0.4002447828471906,-0.03312263166066186,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
ME-APIC,300.0,157.3,170.47193451338458,102.58530410388867,60.1772393776843,88.17905622603315,470.5775465906123,0.0,7,22.78481012658228,17.514299926780712,0.5313205700956418,-0.11080668525423293,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
Passive,350.0,188.825,196.61956556429521,177.64771465951756,90.35098523876363,93.32015390366024,1082.1289545795064,0.0,0,0.0,0.0,0.0,0.0,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
Continuous,350.0,188.825,194.95059015326146,174.9823288662825,89.75727066469469,98.2097028745969,1063.064892235423,0.0,1,99.99999999999999,137.25523912765962,2.9549775314912097,-1.346862914196839,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
T-APIC,350.0,188.825,197.63571291948128,177.32889765993937,89.72512864220288,100.72413680837434,1049.7125317066375,0.0,7,26.923076923076923,23.355686197080818,0.8919748615682525,-0.2066585503340108,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
E-APIC,350.0,188.825,199.17244020676407,179.6861445652412,90.21636948299984,100.72413680837434,1061.5074329997879,0.0,6,21.89349112426035,46.94064669548606,1.0490928349453987,-0.25804344186670697,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
ME-APIC,350.0,188.825,196.4231904628408,176.299690361522,89.75502838850092,98.97679393953723,1052.0857830335135,0.0,7,23.076923076923073,29.790734789669123,0.9154194464529789,-0.4888414729443115,3,1009938822,2.0,0.005,0.015,0.9319170664384594,1.0719241794038814,1.0481107374819216,0.964626298362669,1.0590405828338882,1.0124589657009393,0.9155213535849533,0.9110904480721791,1.0932180358185066
